"bgrp[1]","bgrp[2]","bgrp[3]"
0.5062168,-0.022757966,-0.29516716
0.48986827,-0.13950735,-0.18641008
0.66212072,-0.14439323,-0.097993339
0.51890447,-0.065891252,-0.14023871
0.33268343,-0.22060849,0.2438898
0.70472473,0.035753572,-0.17235243
0.2093249,-0.15105674,-0.092972916
0.15304446,-0.10882241,-0.16833146
0.64375853,-0.03961818,0.17663682
0.56223161,-0.074199533,0.015257134
0.79965169,-0.061483363,-0.41823284
0.25933306,-0.14567536,-0.030819676
0.41012327,-0.15954713,-0.018454499
0.40945747,-0.15391142,-0.0040526554
0.21164492,-0.16514012,-0.14232689
0.58257653,-0.10521758,-0.34933082
0.64765299,-0.11900936,-0.23887916
0.50592663,-0.063572575,-0.1968973
0.37993448,-0.21016072,0.078258276
0.34060115,-0.12658269,-0.080649691
0.43441416,-0.14908919,-0.031480342
0.67738361,-0.12476906,-0.044042954
0.59142837,-0.14944618,-0.1516062
0.61727962,-0.11304653,-0.15524695
0.49149718,-0.082238964,-0.13474282
0.44275435,-0.13323307,-0.29378239
0.47613458,-0.099642376,-0.15875028
0.30909087,-0.15437329,-0.21413572
0.50839173,-0.21401875,-0.017168252
0.47226215,-0.203875,-0.094930458
0.40339719,-0.19009865,-0.1174668
0.32478951,-0.20873309,-0.22883954
0.68239848,-0.0039990393,0.014119523
0.52828743,-0.16354353,-0.34008224
0.3472689,-0.1173312,-0.22509675
0.46045566,-0.13634198,-0.13160415
0.45270989,-0.064053721,-0.19576201
0.52655118,-0.14071328,-0.12816031
0.38268394,-0.1395605,0.12992017
-0.058248309,-0.23622982,-0.15911024
0.32705402,-0.12571965,0.0040159083
0.2904496,-0.22619893,-0.064931878
0.76840644,-0.057299376,-0.1052881
-0.077891507,-0.16786581,-0.077824463
0.58463552,-0.14238199,-0.16441111
0.559705,-0.14092255,-0.24455655
0.40126735,-0.26453676,0.22933142
